,Unnamed: 0,demo_id,demo_round_id,round_start_tick,weapon_fire_id,team,detonation_raw_x,detonation_raw_y,detonation_raw_z,throw_from_raw_x,throw_from_raw_y,throw_from_raw_z,throw_tick,detonation_tick,LABEL,TYPE,map_name,RESULT
0,0,5158,46311,159689,6573932,CT,448.495,3380.3,222.468,864.899658203125,2389.01025390625,144.062393188477,13344,13566.0,True,flashbang,de_inferno,elo
1,1,5595,55563,397002,7899867,T,778.686,2274.62,137.793,455.041687011719,3182.33227539062,160.03125,11044,11352.0,True,smoke,de_inferno,elo
2,2,5596,55589,305379,7903151,T,1447.97,896.635,144.474,-279.96875,-268.96875,29.1819629669189,3193,3871.0,True,smoke,de_inferno,elo
3,3,5596,55595,397002,7904064,T,2717.18,318.481,552.741,1880.82556152344,571.3973388671881,222.03125,10406,10628.0,True,flashbang,de_inferno,elo
4,4,788,42597,71501,6039404,T,313.638,2291.22,396.449,1166.62463378906,2799.95068359375,127.641593933105,2873,3095.0,True,flashbang,de_inferno,elo
5,5,5158,46307,90876,6573217,T,1060.25,294.166,518.51,1505.0830078125,1016.01098632812,154.168029785156,2560,2783.0,False,flashbang,de_inferno,elo
6,6,5488,52756,104552,7516263,T,2540.26,-23.9276,86.0312,1404.03845214844,-33.626251220703104,130.03125,13347,13571.0,True,molotov,de_inferno,elo
7,7,5452,51762,61398,7371016,CT,196.208,1777.1,123.453,93.76732635498053,1052.43762207031,80.9291915893555,3041,3301.0,True,smoke,de_inferno,elo
8,8,5596,55589,305379,7903176,CT,436.817,2213.56,336.98400000000004,860.1215209960941,2114.5908203125,157.17936706543,4353,4577.0,True,flashbang,de_inferno,elo
9,9,5668,57540,369478,8175020,T,88.3737,1284.73,92.5763,273.96875,1346.36047363281,106.03125,3630,3678.0,True,smoke,de_inferno,elo
10,10,5158,46316,240989,6574849,T,282.949,1806.62,126.563,51.769813537597706,848.8556518554691,69.65310668945311,2748,2889.0,True,molotov,de_inferno,elo
11,11,5158,46316,240989,6574847,T,1222.59,43.1049,256.031,-239.601486206055,-89.22900390625,27.2755756378174,2537,2811.0,True,molotov,de_inferno,elo
12,12,5596,55588,287225,7903011,T,1424.49,957.828,149.22899999999998,785.003662109375,-300.96875,98.93508911132808,8612,9286.0,True,smoke,de_inferno,elo
13,13,5452,51764,79414,7371388,CT,242.526,1793.22,123.737,827.0991821289059,2177.44409179688,142.03125,4699,4983.0,True,smoke,de_inferno,elo
14,14,5614,56023,43327,7967028,CT,2294.8,455.177,158.861,2500.87353515625,-350.520172119141,81.83738708496091,16219,16441.0,False,flashbang,de_inferno,elo
15,15,5452,51782,338199,7374167,CT,155.476,2050.59,413.997,973.1017456054692,2781.99853515625,136.94290161132798,5264,5484.0,True,flashbang,de_inferno,elo
16,16,644,44402,189404,6301191,T,1280.85,2595.04,226.673,1130.03125,2809.19677734375,130.341751098633,2562,2784.0,False,flashbang,de_inferno,elo
17,17,5158,46324,356588,6576208,CT,889.455,2559.33,147.031,-798.888793945312,517.4613037109381,-30.072725296020497,2547,3561.0,False,smoke,de_inferno,elo
18,18,5596,55589,305379,7903196,CT,1338.05,106.397,130.031,1467.74255371094,316.393463134766,133.233306884766,4661,4893.0,False,smoke,de_inferno,elo
19,19,596,42757,199026,6066313,CT,1411.55,-119.802,132.005,1589.64636230469,-91.3864974975586,130.933212280273,7603,7885.0,False,smoke,de_inferno,elo
20,20,5452,51764,79414,7371438,T,1017.32,2665.23,132.061,330.921112060547,1634.92517089844,122.03125,6823,7371.0,False,smoke,de_inferno,elo
21,21,645,42497,413555,6024713,CT,934.415,2774.83,129.694,582.3236083984381,1873.03125,133.019622802734,5665,5951.0,True,smoke,de_inferno,elo
22,22,5500,53073,50624,7555900,CT,1845.73,-204.199,258.031,2096.31176757812,-245.341430664062,292.03125,8978,9188.0,True,smoke,de_inferno,elo
23,23,5596,55589,305379,7903154,CT,1091.58,2143.15,616.092,691.03125,2234.140625,138.030838012695,3483,3705.0,True,flashbang,de_inferno,elo
24,24,5488,52762,175019,7516882,T,2650.34,-49.9462,432.258,1832.36901855469,335.463500976562,160.03125,14643,14865.0,True,flashbang,de_inferno,elo
25,25,5596,55583,206904,7902233,T,1409.35,368.111,129.398,295.937377929688,644.000305175781,20.03125,4515,4983.0,True,smoke,de_inferno,elo
26,26,5596,55582,187969,7902131,T,990.155,2715.93,129.64700000000002,616.941955566406,1991.95642089844,129.704177856445,14023,14231.0,True,smoke,de_inferno,elo
27,27,5158,46324,356588,6576231,T,1279.88,-346.60400000000004,258.031,1442.84631347656,-339.75537109375,256.03125,3416,3622.0,True,smoke,de_inferno,elo
28,28,5614,56023,43327,7966908,T,350.04900000000004,1749.2,223.583,841.9796752929691,2395.95678710938,142.032302856445,3155,3377.0,True,flashbang,de_inferno,elo
29,29,5158,46311,159689,6573910,CT,1060.97,2696.81,129.934,416.465515136719,1768.67138671875,128.562057495117,9670,10500.0,True,smoke,de_inferno,elo
30,30,5596,55571,39015,7900489,T,52.0916,1264.71,94.0626,739.4153442382809,2212.21118164062,136.90364074707,3941,4145.0,False,smoke,de_inferno,elo
31,31,5546,54179,182393,7701153,T,1526.97,322.69,137.351,2509.74365234375,-273.42071533203097,84.4648818969727,7775,8169.0,True,smoke,de_inferno,elo
32,32,5452,51779,297123,7373719,T,625.044,2025.02,131.684,-656.010009765625,495.9951171875,-19.3965873718262,4404,5024.0,True,smoke,de_inferno,elo
33,33,5500,53073,50624,7555903,T,1427.26,770.465,137.72299999999998,1230.87646484375,237.852401733398,158.802581787109,11614,11850.0,True,smoke,de_inferno,elo
34,34,5559,54533,120968,7753255,T,1516.19,112.878,129.191,2120.31713867188,363.486846923828,160.03125,9172,9364.0,True,molotov,de_inferno,elo
35,35,5559,54532,112406,7753083,T,410.636,1956.55,130.031,140.097076416016,826.1941528320309,78.9929656982422,3376,3608.0,True,molotov,de_inferno,elo
36,36,5647,56949,470570,8093152,CT,1038.01,2744.71,129.366,340.23724365234403,1652.2529296875,122.03125,12287,12911.0,True,smoke,de_inferno,elo
37,37,5527,53685,154895,7633475,CT,765.961,2346.18,136.98,630.532531738281,1997.78405761719,130.355178833008,14848,15134.0,False,smoke,de_inferno,elo
38,38,5596,55588,287225,7903004,T,974.009,2730.83,129.42,639.71337890625,2051.9990234375,133.294723510742,7398,7684.0,True,smoke,de_inferno,elo
39,39,5158,46320,294808,6575672,T,1063.53,2685.95,129.94799999999998,397.3203125,3077.92016601562,160.03125,8466,8724.0,True,smoke,de_inferno,elo
40,40,5596,55593,372947,7903780,CT,147.38299999999998,1452.7,107.672,342.090179443359,1684.677734375,122.03125,3567,3799.0,False,smoke,de_inferno,elo
41,41,5488,52756,104552,7516160,T,958.563,3.60087,286.951,-374.371246337891,-117.581085205078,15.8738651275635,2643,2827.0,False,molotov,de_inferno,elo
42,42,5488,52767,259270,7517458,CT,2047.19,-100.271,217.408,1564.10192871094,-274.000335693359,256.03125,8073,8537.0,True,smoke,de_inferno,elo
43,43,596,42745,58675,6063979,T,1167.8,509.962,110.767,1511.49255371094,1057.416015625,154.78483581543,3540,3824.0,True,smoke,de_inferno,elo
44,44,5488,52767,259270,7517465,CT,2469.62,-155.761,84.0312,2487.95336914062,-142.271102905273,84.03125,9399,9421.0,True,smoke,de_inferno,elo
45,45,5596,55582,187969,7902043,CT,1878.83,2869.86,128.789,2000.53527832031,2689.26806640625,128.03125,6295,6529.0,False,smoke,de_inferno,elo
